instant,dteday,season,year,month,hours,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,day_category,humidity_category,time_of_day
58,2011-01-03,Spring,2011,Jan,12,0,Monday,Weekdays,Clear,0.22,0.2121,35.0,0.2985,13,48,61,1,Sangat kering,Afternoon
59,2011-01-03,Spring,2011,Jan,13,0,Monday,Weekdays,Clear,0.24,0.2121,35.0,0.2836,8,53,61,1,Sangat kering,Afternoon
60,2011-01-03,Spring,2011,Jan,14,0,Monday,Weekdays,Clear,0.26,0.2424,30.0,0.2836,11,66,77,1,Sangat kering,Afternoon
61,2011-01-03,Spring,2011,Jan,15,0,Monday,Weekdays,Clear,0.26,0.2424,30.0,0.2537,14,58,72,1,Sangat kering,Afternoon
62,2011-01-03,Spring,2011,Jan,16,0,Monday,Weekdays,Clear,0.26,0.2424,30.0,0.2537,9,67,76,1,Sangat kering,Afternoon
63,2011-01-03,Spring,2011,Jan,17,0,Monday,Weekdays,Clear,0.24,0.2273,30.0,0.2239,11,146,157,1,Sangat kering,Afternoon
64,2011-01-03,Spring,2011,Jan,18,0,Monday,Weekdays,Clear,0.24,0.2576,32.0,0.1045,9,148,157,1,Sangat kering,Evening
65,2011-01-03,Spring,2011,Jan,19,0,Monday,Weekdays,Clear,0.2,0.2576,47.0,0.0,8,102,110,1,Normal,Evening
66,2011-01-03,Spring,2011,Jan,20,0,Monday,Weekdays,Clear,0.2,0.2273,47.0,0.1045,3,49,52,1,Normal,Evening
67,2011-01-03,Spring,2011,Jan,21,0,Monday,Weekdays,Clear,0.18,0.197,64.0,0.1343,3,49,52,1,Normal,Evening
68,2011-01-03,Spring,2011,Jan,22,0,Monday,Weekdays,Clear,0.14,0.1515,69.0,0.1343,0,20,20,1,Sangat Lembab,Evening
69,2011-01-03,Spring,2011,Jan,23,0,Monday,Weekdays,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,1,Normal,Evening
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,Weekdays,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,2,Normal,Night
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,Weekdays,Clear,0.16,0.1818,59.0,0.1045,0,2,2,2,Normal,Night
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,Weekdays,Clear,0.14,0.1515,63.0,0.1343,0,1,1,2,Normal,Night
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,Weekdays,Clear,0.14,0.1818,63.0,0.0896,0,2,2,2,Normal,Night
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,Weekdays,Clear,0.12,0.1515,68.0,0.1045,0,4,4,2,Sangat Lembab,Night
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,Weekdays,Clear,0.12,0.1515,74.0,0.1045,0,36,36,2,Sangat Lembab,Morning
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,Weekdays,Clear,0.12,0.1515,74.0,0.1343,2,92,94,2,Sangat Lembab,Morning
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,Weekdays,Clear,0.14,0.1515,69.0,0.1642,2,177,179,2,Sangat Lembab,Morning
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,Weekdays,Clear,0.16,0.1515,64.0,0.2239,2,98,100,2,Normal,Morning
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,Weekdays,Misty,0.16,0.1364,69.0,0.3284,5,37,42,2,Sangat Lembab,Morning
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,Weekdays,Clear,0.22,0.2121,51.0,0.2985,7,50,57,2,Normal,Morning
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,Weekdays,Clear,0.22,0.2273,51.0,0.1642,12,66,78,2,Normal,Afternoon
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,Weekdays,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,2,Normal,Afternoon
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,Weekdays,Clear,0.26,0.2576,52.0,0.2239,9,54,63,2,Normal,Afternoon
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,Weekdays,Clear,0.28,0.2727,52.0,0.2537,17,48,65,2,Normal,Afternoon
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,Weekdays,Clear,0.3,0.2879,49.0,0.2537,15,68,83,2,Normal,Afternoon
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,Weekdays,Clear,0.28,0.2727,48.0,0.2239,10,202,212,2,Normal,Afternoon
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,Weekdays,Clear,0.26,0.2576,48.0,0.194,3,179,182,2,Normal,Evening
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,Weekdays,Clear,0.24,0.2576,48.0,0.1045,2,110,112,2,Normal,Evening
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,Weekdays,Clear,0.24,0.2576,48.0,0.1045,1,53,54,2,Normal,Evening
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,Weekdays,Clear,0.22,0.2727,64.0,0.0,0,48,48,2,Normal,Evening
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,Weekdays,Clear,0.22,0.2576,64.0,0.0896,1,34,35,2,Normal,Evening
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,Weekdays,Clear,0.2,0.2273,69.0,0.0896,2,9,11,2,Sangat Lembab,Evening
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,Weekdays,Clear,0.2,0.2576,64.0,0.0,0,6,6,3,Normal,Night
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,Weekdays,Clear,0.16,0.197,74.0,0.0896,0,6,6,3,Sangat Lembab,Night
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,Weekdays,Clear,0.16,0.197,74.0,0.0896,0,2,2,3,Sangat Lembab,Night
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,Weekdays,Clear,0.24,0.2273,48.0,0.2239,0,2,2,3,Normal,Night
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,Weekdays,Clear,0.22,0.2273,47.0,0.1642,0,3,3,3,Normal,Night
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,Weekdays,Clear,0.2,0.197,47.0,0.2239,0,33,33,3,Normal,Morning
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,Weekdays,Clear,0.18,0.1818,43.0,0.194,1,87,88,3,Sangat kering,Morning
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,Weekdays,Clear,0.2,0.1818,40.0,0.2985,3,192,195,3,Sangat kering,Morning
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,Weekdays,Clear,0.22,0.197,37.0,0.3284,6,109,115,3,Sangat kering,Morning
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,Weekdays,Clear,0.22,0.197,37.0,0.3284,4,53,57,3,Sangat kering,Morning
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,Weekdays,Clear,0.26,0.2273,33.0,0.3284,12,34,46,3,Sangat kering,Morning
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,Weekdays,Clear,0.26,0.2273,33.0,0.3284,5,74,79,3,Sangat kering,Afternoon
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,Weekdays,Clear,0.28,0.2576,30.0,0.2985,6,65,71,3,Sangat kering,Afternoon
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,Weekdays,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,3,Sangat kering,Afternoon
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,Weekdays,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,3,Sangat kering,Afternoon
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,Weekdays,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,3,Sangat kering,Afternoon
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,Weekdays,Clear,0.24,0.2273,38.0,0.194,4,186,190,3,Sangat kering,Afternoon
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,Weekdays,Clear,0.24,0.2424,38.0,0.1343,3,166,169,3,Sangat kering,Evening
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,Weekdays,Clear,0.24,0.2576,38.0,0.1045,5,127,132,3,Sangat kering,Evening
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,Weekdays,Clear,0.22,0.2273,47.0,0.1642,7,82,89,3,Normal,Evening
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,Weekdays,Clear,0.2,0.197,51.0,0.194,3,40,43,3,Normal,Evening
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,Weekdays,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,3,Normal,Evening
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,Weekdays,Clear,0.2,0.2576,47.0,0.0,1,18,19,3,Normal,Evening
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,Weekdays,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,4,Normal,Night
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,Weekdays,Clear,0.16,0.2273,64.0,0.0,0,4,4,4,Normal,Night
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,Weekdays,Clear,0.16,0.2273,64.0,0.0,0,2,2,4,Normal,Night
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,Weekdays,Misty,0.16,0.197,64.0,0.0896,0,1,1,4,Normal,Night
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,Weekdays,Misty,0.14,0.1818,69.0,0.0896,0,4,4,4,Sangat Lembab,Night
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,Weekdays,Misty,0.14,0.1667,63.0,0.1045,0,36,36,4,Normal,Morning
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,Weekdays,Misty,0.16,0.2273,59.0,0.0,0,95,95,4,Normal,Morning
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,Weekdays,Clear,0.16,0.2273,59.0,0.0,3,216,219,4,Normal,Morning
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,Weekdays,Misty,0.18,0.2424,51.0,0.0,6,116,122,4,Normal,Morning
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,Weekdays,Clear,0.2,0.2576,47.0,0.0,3,42,45,4,Normal,Morning
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,Weekdays,Clear,0.22,0.2576,44.0,0.0896,2,57,59,4,Sangat kering,Morning
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,Weekdays,Clear,0.26,0.2879,35.0,0.0,6,78,84,4,Sangat kering,Afternoon
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,Weekdays,Clear,0.26,0.2727,35.0,0.1045,12,55,67,4,Sangat kering,Afternoon
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,Weekdays,Clear,0.28,0.2727,36.0,0.1642,11,59,70,4,Sangat kering,Afternoon
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,Weekdays,Clear,0.28,0.2727,36.0,0.0,8,54,62,4,Sangat kering,Afternoon
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,Weekdays,Clear,0.26,0.2576,38.0,0.1642,12,74,86,4,Sangat kering,Afternoon
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,Weekdays,Clear,0.22,0.2273,51.0,0.1642,9,163,172,4,Normal,Afternoon
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,Weekdays,Clear,0.22,0.2273,51.0,0.1343,5,158,163,4,Normal,Evening
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,Weekdays,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,4,Normal,Evening
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,Weekdays,Clear,0.2,0.2121,51.0,0.1642,3,66,69,4,Normal,Evening
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,Weekdays,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,4,Normal,Evening
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,Weekdays,Misty,0.22,0.2121,51.0,0.2836,1,51,52,4,Normal,Evening
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,Weekdays,Misty,0.2,0.197,59.0,0.194,4,19,23,4,Normal,Evening
139,2011-01-07,Spring,2011,Jan,0,0,Friday,Weekdays,Misty,0.2,0.197,64.0,0.194,4,13,17,5,Normal,Night
140,2011-01-07,Spring,2011,Jan,1,0,Friday,Weekdays,Misty,0.2,0.197,69.0,0.2239,2,5,7,5,Sangat Lembab,Night
141,2011-01-07,Spring,2011,Jan,2,0,Friday,Weekdays,Misty,0.2,0.197,69.0,0.2239,0,1,1,5,Sangat Lembab,Night
142,2011-01-07,Spring,2011,Jan,4,0,Friday,Weekdays,Misty,0.2,0.2121,69.0,0.1343,0,1,1,5,Sangat Lembab,Night
143,2011-01-07,Spring,2011,Jan,5,0,Friday,Weekdays,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,5,Normal,Night
144,2011-01-07,Spring,2011,Jan,6,0,Friday,Weekdays,Misty,0.2,0.2576,69.0,0.0,8,26,34,5,Sangat Lembab,Morning
145,2011-01-07,Spring,2011,Jan,7,0,Friday,Weekdays,Clear,0.2,0.2121,69.0,0.1343,8,76,84,5,Sangat Lembab,Morning
146,2011-01-07,Spring,2011,Jan,8,0,Friday,Weekdays,Clear,0.2,0.197,51.0,0.2537,20,190,210,5,Normal,Morning
147,2011-01-07,Spring,2011,Jan,9,0,Friday,Weekdays,Clear,0.2,0.1818,47.0,0.2985,9,125,134,5,Normal,Morning
148,2011-01-07,Spring,2011,Jan,10,0,Friday,Weekdays,Clear,0.22,0.197,37.0,0.3284,16,47,63,5,Sangat kering,Morning
149,2011-01-07,Spring,2011,Jan,11,0,Friday,Weekdays,Misty,0.2,0.197,40.0,0.2239,19,48,67,5,Sangat kering,Morning
150,2011-01-07,Spring,2011,Jan,12,0,Friday,Weekdays,Misty,0.2,0.197,37.0,0.2537,9,50,59,5,Sangat kering,Afternoon
151,2011-01-07,Spring,2011,Jan,13,0,Friday,Weekdays,Misty,0.2,0.1818,37.0,0.2836,9,64,73,5,Sangat kering,Afternoon
152,2011-01-07,Spring,2011,Jan,14,0,Friday,Weekdays,Misty,0.2,0.197,40.0,0.2537,7,43,50,5,Sangat kering,Afternoon
153,2011-01-07,Spring,2011,Jan,15,0,Friday,Weekdays,Misty,0.2,0.2121,37.0,0.1642,9,63,72,5,Sangat kering,Afternoon
154,2011-01-07,Spring,2011,Jan,16,0,Friday,Weekdays,Misty,0.2,0.2121,37.0,0.1642,5,82,87,5,Sangat kering,Afternoon
155,2011-01-07,Spring,2011,Jan,17,0,Friday,Weekdays,Misty,0.2,0.2576,37.0,0.0,9,178,187,5,Sangat kering,Afternoon
156,2011-01-07,Spring,2011,Jan,18,0,Friday,Weekdays,Clear,0.2,0.2273,40.0,0.0896,7,116,123,5,Sangat kering,Evening
157,2011-01-07,Spring,2011,Jan,19,0,Friday,Weekdays,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,5,Normal,Evening
158,2011-01-07,Spring,2011,Jan,20,0,Friday,Weekdays,Clear,0.18,0.2121,47.0,0.1045,1,50,51,5,Normal,Evening
159,2011-01-07,Spring,2011,Jan,21,0,Friday,Weekdays,Clear,0.18,0.197,47.0,0.1343,0,39,39,5,Normal,Evening
160,2011-01-07,Spring,2011,Jan,22,0,Friday,Weekdays,Misty,0.18,0.197,43.0,0.1642,2,34,36,5,Sangat kering,Evening
161,2011-01-07,Spring,2011,Jan,23,0,Friday,Weekdays,Misty,0.18,0.197,51.0,0.1642,1,14,15,5,Normal,Evening
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,Weekend,Misty,0.18,0.197,51.0,0.1642,1,24,25,6,Normal,Night
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,Weekend,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,6,Normal,Night
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,Weekend,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,6,Normal,Night
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,Weekend,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,7,7,6,Normal,Night
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,Weekend,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,1,1,6,Normal,Night
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,Weekend,Misty,0.16,0.1667,74.0,0.1642,0,5,5,6,Sangat Lembab,Night
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,Weekend,Misty,0.16,0.1667,74.0,0.1642,0,2,2,6,Sangat Lembab,Morning
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,Weekend,Misty,0.16,0.1818,74.0,0.1045,1,8,9,6,Sangat Lembab,Morning
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,Weekend,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,6,Sangat Lembab,Morning
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,Weekend,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,6,Sangat Lembab,Morning
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,Weekend,Misty,0.18,0.197,80.0,0.1642,5,56,61,6,Sangat Lembab,Morning
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,Weekend,Misty,0.2,0.1818,69.0,0.3881,2,60,62,6,Sangat Lembab,Morning
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,Weekend,Misty,0.2,0.1818,59.0,0.3582,8,90,98,6,Normal,Afternoon
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,Weekend,Clear,0.2,0.1818,44.0,0.3284,7,95,102,6,Sangat kering,Afternoon
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,Weekend,Clear,0.2,0.1667,32.0,0.4925,12,83,95,6,Sangat kering,Afternoon
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,Weekend,Clear,0.2,0.1667,32.0,0.4478,5,69,74,6,Sangat kering,Afternoon
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,Weekend,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,6,Sangat kering,Afternoon
179,2011-01-08,Spring,2011,Jan,17,0,Saturday,Weekend,Clear,0.16,0.1212,37.0,0.5522,5,64,69,6,Sangat kering,Afternoon
180,2011-01-08,Spring,2011,Jan,18,0,Saturday,Weekend,Clear,0.14,0.1212,39.0,0.2985,3,52,55,6,Sangat kering,Evening
181,2011-01-08,Spring,2011,Jan,19,0,Saturday,Weekend,Clear,0.14,0.1212,36.0,0.2537,4,26,30,6,Sangat kering,Evening
182,2011-01-08,Spring,2011,Jan,20,0,Saturday,Weekend,Clear,0.12,0.1212,36.0,0.2537,0,28,28,6,Sangat kering,Evening
